folder|name|url
AI/AI对话/ToolAI 全球最完整最全面的AI人工智能工具集合|ToolAI 全球最完整最全面的AI人工智能工具集合|https://www.toolai.io/zh/
AI/AI对话/Transcribe Playground - iZYREC|Transcribe Playground - iZYREC|https://plaud.ai/transcribe
AI/AI对话/Writesonic - Best AI Writer, Copywriting & Paraphrasing Tool|Writesonic - Best AI Writer, Copywriting & Paraphrasing Tool|https://writesonic.com/
AI/AI对话/风声雨声|风声雨声|https://fsys.app/
AI/AI对话/海螺AI|海螺AI|https://hailuoai.com/?type=example&exampleID=1
AI/AI对话/聊天 - Monica|聊天 - Monica|https://monica.im/home
AI/AI对话/Kimi.ai - 帮你看更大的世界|Kimi.ai - 帮你看更大的世界|https://kimi.moonshot.cn/
AI/AI对话/豆包|豆包|https://www.doubao.com/
AI/AI对话/Perplexity AI: Ask Anything|Perplexity AI: Ask Anything|https://www.perplexity.ai/
AI/AI对话/Claude|Claude|https://claude.ai/
AI/AI对话/Pandora|Pandora|https://new.oaifree.com/auth/login_auth0
AI/AI对话/ChatGPT|ChatGPT|https://new.oaifree.com/
AI/AI对话/Claude|Claude|https://demo.fuclaude.com/new
AI/AI对话/cerebras.ai|cerebras.ai|https://cerebras.ai/
AI/AI对话/Ideogram|Ideogram|https://ideogram.ai/
AI/AI对话/chatgpt.com/api/auth/session|chatgpt.com/api/auth/session|https://chatgpt.com/api/auth/session
AI/AI对话/flowith - AI for deep work|flowith - AI for deep work|https://flowith.io/
AI/AI对话/Raphael AI - 免费无限制 AI 图像生成器|Raphael AI - 免费无限制 AI 图像生成器|https://raphael.app/zh
AI/AI对话/AkashChat|AkashChat|https://chat.akash.network/
AI/AI对话/秘塔AI搜索|秘塔AI搜索|https://metaso.cn/
AI/AI对话/DeepSeek - 探索未至之境|DeepSeek - 探索未至之境|https://chat.deepseek.com/sign_in
AI/AI对话/Veo 2|Veo 2|https://veo2.ai/zh
AI/AI对话/Grok|Grok|https://grok.com/?referrer=website
AI/AI对话/Jina AI - Your Search Foundation, Supercharged.|Jina AI - Your Search Foundation, Supercharged.|https://jina.ai/
AI/AI对话/MinerU|MinerU|https://mineru.net/
AI/AI对话/Qwen3-Coder: 在世界中自主编程|Qwen3-Coder: 在世界中自主编程|https://qwen.ai/blog?id=d927d7d2e59d059045ce758ded34f98c0186d2d7&from=research.research-list
AI/AI对话/Dreamina: Create realistic talking avatars with AI avatar generator|Dreamina: Create realistic talking avatars with AI avatar generator|https://dreamina.capcut.com/ai-tool/home/
AI/AI对话/aistudio.google.com/app/apikey|aistudio.google.com/app/apikey|https://aistudio.google.com/app/apikey
